"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.171256000E-3,-4.183999896E-1,4.314000010E-1,-9.708999991E-1,1.141845576E0
1.809781900E-2,6.499999668E-3,-8.760000020E-2,-1.389999967E-2,8.893379572E-2
2.802281900E-2,5.379999802E-2,-7.449999452E-2,1.952999979E-1,2.158397048E-1
3.794938100E-2,1.506000012E-1,-6.899999827E-2,2.606999874E-1,3.088783637E-1
4.787594400E-2,2.830999792E-1,-1.023999974E-1,1.234999970E-1,3.253976136E-1
5.780250600E-2,4.069999754E-1,-1.362999976E-1,3.739999980E-2,4.308426967E-1
6.772906900E-2,4.921999872E-1,-8.179999888E-2,1.850000024E-2,4.992938185E-1
7.765563100E-2,4.141999781E-1,-6.469999999E-2,1.280999929E-1,4.383575254E-1
8.758219400E-2,4.045999944E-1,-4.710000008E-2,2.190999985E-1,4.625195940E-1
9.750719400E-2,4.626999795E-1,3.399999812E-3,3.326999843E-1,5.699053523E-1
1.074337560E-1,5.457999706E-1,4.919999838E-2,3.333999813E-1,6.414622322E-1
1.173603190E-1,5.539999604E-1,4.690000042E-2,3.308999836E-1,6.470010551E-1
1.272868810E-1,5.457999706E-1,2.799999900E-2,3.637000024E-1,6.564749041E-1
1.372134440E-1,5.018999577E-1,4.019999877E-2,4.476999938E-1,6.737617471E-1
1.471400060E-1,3.752000034E-1,5.319999903E-2,4.953999817E-1,6.237198284E-1
1.570650060E-1,2.796999812E-1,7.719999552E-2,4.848999977E-1,5.650839996E-1
1.669915690E-1,2.237999886E-1,8.850000054E-2,3.123999834E-1,3.943506493E-1
1.769181310E-1,2.283999920E-1,8.989999443E-2,3.559999913E-2,2.480240417E-1
1.868446940E-1,1.642999947E-1,-5.200000014E-3,-2.730000019E-2,1.666337849E-1
1.967712560E-1,1.564999968E-1,-3.499999875E-3,2.296999991E-1,2.779686827E-1
2.066978190E-1,9.269999713E-2,2.269999869E-2,5.604000092E-1,5.684687763E-1
2.166228190E-1,-4.729999974E-2,7.799999788E-3,7.220000029E-1,7.235897554E-1
