Devices
800
,,Bertec Force Plate #1 - Force,,,Bertec Force Plate #1 - Moment,,,Bertec Force Plate #1 - CoP,,,Bertec Force Plate #2 - Force,,,Bertec Force Plate #2 - Moment,,,Bertec Force Plate #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,15.0232,2.86744,56.7432,-12438.4,-601.318,-3922.67,-194.403,80.7956,1.60013e-06,-1.21472,-1.51368,814.661,-56595.3,-24305.9,429.005,234.836,230.529,4.50506e-06
1,1,15.3284,5.91919,68.9502,-12987.7,-723.388,-3739.57,-194.509,111.637,1.58417e-06,-0.299192,-1.81885,811.609,-57144.7,-24183.8,520.558,234.797,229.591,4.49929e-06
2,0,13.4973,6.22437,64.0674,-12438.4,-967.529,-3922.67,-189.898,105.855,2.2803e-06,0.31116,-3.03955,808.557,-57144.7,-23939.7,337.452,234.608,229.325,4.47067e-06
2,1,13.1921,6.22437,63.457,-13537,-601.318,-3922.67,-195.524,86.6748,1.43083e-06,-0.299192,-2.4292,811.609,-56412.2,-23939.7,703.663,234.497,230.493,4.45386e-06
3,0,15.0232,5.91919,61.0156,-12072.1,-235.107,-3739.57,-201.147,102.147,5.8182e-07,0.31116,-2.4292,813.44,-56961.5,-24183.8,520.558,234.73,229.974,4.48916e-06
3,1,13.8025,6.52954,64.0674,-11522.8,-601.318,-3922.67,-195.614,120.145,1.4172e-06,-0.604367,-1.81885,809.778,-56961.5,-24061.8,886.769,234.714,229.658,4.4867e-06
4,0,14.1077,6.83472,64.6777,-12621.5,-235.107,-3922.67,-201.365,104.856,5.48877e-07,-0.299192,-1.81885,810.998,-56412.2,-24061.8,520.558,234.669,230.441,4.47994e-06
4,1,14.4128,4.69849,62.2363,-12255.2,-235.107,-3556.46,-201.222,103.085,5.70409e-07,-1.82507,-1.2085,811.609,-56778.4,-24305.9,520.558,234.948,230.042,4.522e-06
5,0,14.718,6.52954,64.6777,-12621.5,-113.036,-3831.12,-203.252,104.856,2.63893e-07,-1.21472,-3.03955,816.492,-56595.3,-24183.8,245.899,234.619,230.685,4.47238e-06
5,1,11.9714,4.08814,64.0674,-12987.7,-1211.67,-3648.01,-186.088,97.2811,2.8557e-06,0.311161,-1.2085,807.336,-56412.2,-24305.9,612.11,235.106,230.126,4.54593e-06
6,0,13.8025,5.61402,64.0674,-12987.7,-1211.67,-3739.57,-186.088,97.2811,2.8557e-06,-1.21472,-2.12403,812.219,-56412.2,-24305.9,429.005,234.925,230.546,4.5186e-06
6,1,13.8025,4.69849,65.2881,-11889,-479.247,-3648.01,-197.66,117.899,1.10839e-06,-0.604367,-2.4292,808.557,-56961.5,-24305.9,154.347,235.061,229.552,4.53906e-06
7,0,14.1077,6.22437,64.0674,-12804.6,-235.107,-3922.67,-201.33,100.139,5.54106e-07,0.00598404,-0.598148,812.219,-56778.4,-24183.8,429.005,234.775,230.095,4.4959e-06
7,1,14.4128,3.47779,64.0674,-11889,-601.318,-3648.01,-195.614,114.429,1.4172e-06,-0.909543,-1.81885,809.167,-56412.2,-24061.8,886.769,234.736,230.284,4.49008e-06
8,0,12.5818,5.61402,62.2363,-12621.5,-1211.67,-3922.67,-185.531,97.2011,2.93971e-06,1.53186,-1.51368,817.712,-56961.5,-24428,703.663,234.874,230.34,4.51078e-06
8,1,14.4128,6.52954,63.457,-11705.9,-113.036,-3831.12,-203.219,115.53,2.6897e-07,-0.299191,-2.4292,810.388,-56778.4,-24550.1,703.663,235.294,229.937,4.5743e-06
9,0,11.0559,6.22437,61.0156,-12438.4,-113.036,-4014.22,-203.147,96.1448,2.79732e-07,-0.299192,-1.81885,813.44,-56412.2,-24061.8,337.452,234.58,230.65,4.4665e-06
9,1,13.8025,5.61402,61.626,-12255.2,-1089.6,-3922.67,-187.319,101.135,2.66973e-06,-1.21472,-2.4292,813.44,-56229.1,-24061.8,612.11,234.58,230.875,4.4665e-06
10,0,13.8025,5.61402,62.8467,-12987.7,-357.177,-3831.12,-199.317,93.3436,8.58156e-07,-0.604368,-2.12403,814.05,-56595.3,-24305.9,520.558,234.858,230.477,4.50843e-06
10,1,12.8869,2.86744,67.7295,-13537,-601.318,-3922.67,-196.122,100.132,1.34057e-06,0.00598441,-1.81885,809.778,-56229.1,-24428,245.9,235.166,230.562,4.55498e-06
11,0,13.1921,5.91919,62.8467,-12621.5,-235.107,-3739.57,-201.259,99.1706,5.64869e-07,-1.21472,-2.12403,812.83,-56229.1,-24305.9,520.558,234.903,230.823,4.5152e-06
11,1,13.1921,5.91919,63.457,-13353.9,-967.529,-3739.57,-189.753,89.5603,2.30223e-06,0.00598386,-1.81885,813.44,-56778.4,-24183.8,154.347,234.73,230.2,4.48916e-06
12,0,14.718,6.52954,64.0674,-12621.5,-479.247,-3922.67,-197.52,102.997,1.1295e-06,-0.604367,-2.12403,807.947,-56229.1,-24305.9,245.9,235.084,230.405,4.54249e-06
12,1,13.8025,5.91919,64.0674,-12621.5,-1089.6,-3922.67,-187.993,102.997,2.568e-06,-0.604367,-2.12403,811.609,-56229.1,-24550.1,154.347,235.249,230.719,4.56742e-06
13,0,12.8869,6.52954,64.6777,-12804.6,-1333.74,-4014.22,-184.379,102.025,3.11373e-06,-1.51989,-1.81885,809.167,-56412.2,-24061.8,520.558,234.736,230.284,4.49008e-06
