time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
0.001163;-0.2855;0.0445;-0.3554;0.458
0.006279;-0.6413;0.1237;-0.5125;0.830
0.013493;-0.8479;0.1635;-0.5324;1.014
0.023859;-0.8327;0.1779;-0.4779;0.976
0.038248;-0.6619;0.2557;-0.3791;0.804
0.042888;-0.4230;0.2873;-0.2441;0.567
0.057212;-0.2005;0.3314;-0.1414;0.412
0.063089;0.0005;0.3457;-0.1854;0.392
0.073923;0.1118;0.3030;-0.1528;0.357
0.082860;0.1486;0.2482;-0.1081;0.309
0.092546;0.1575;0.1754;-0.0160;0.236
0.106832;0.0885;0.0740;0.0850;0.143
0.113584;0.0388;-0.0380;0.1184;0.130
0.122359;0.0467;-0.1209;0.1225;0.178
0.132368;0.1218;-0.1847;0.1469;0.266
0.142089;0.1464;-0.2769;0.1604;0.352
0.157993;0.1325;-0.2898;0.2613;0.412
0.162292;0.0811;-0.2924;0.3714;0.480
0.173589;0.0697;-0.2753;0.4424;0.526
0.182096;0.0681;-0.2290;0.4841;0.540
0.192854;0.0863;-0.1848;0.4495;0.494
0.203789;0.1049;-0.1028;0.3674;0.396
0.212013;0.1247;-0.0417;0.3062;0.333
0.223473;0.0970;-0.0302;0.2456;0.266
0.231889;0.0615;0.0009;0.2340;0.242
0.241493;0.0357;0.0323;0.2711;0.275
0.256701;0.0104;0.0449;0.4055;0.408
0.261318;-0.0165;0.0574;0.5106;0.514
0.275887;-0.0740;0.0307;0.5372;0.543
0.281869;-0.0943;0.0027;0.5162;0.525
0.291168;-0.0180;0.0029;0.4669;0.467
0.305198;0.0083;-0.0076;0.4481;0.448
0.311046;0.0348;-0.0098;0.4112;0.413
0.330694;0.0527;-0.0237;0.2978;0.303
0.366078;0.0527;-0.0285;0.1360;0.149
0.366653;0.0052;-0.0161;-0.0134;0.022
0.366862;-0.0901;-0.0228;-0.1732;0.197
0.367071;-0.1944;-0.0383;-0.2555;0.323
0.375702;-0.2889;-0.0323;-0.2124;0.360
0.382172;-0.4043;-0.0242;-0.1518;0.433
0.392343;-0.4137;-0.0050;-0.1023;0.426
0.409081;-0.3764;0.0152;-0.0540;0.381
0.410142;-0.2917;0.0655;0.0329;0.301
0.423723;-0.2372;0.1060;0.0610;0.267
0.431031;-0.1327;0.1554;0.0410;0.208
0.440669;-0.0663;0.1642;-0.0363;0.181
0.452690;-0.0478;0.2695;-0.0827;0.286
0.459767;-0.0958;0.3059;-0.2170;0.387
0.469870;-0.1128;0.2628;-0.3209;0.430
0.479660;-0.0814;0.2794;-0.3275;0.438
0.489671;-0.0708;0.2865;-0.3443;0.453
0.503338;-0.0229;0.2550;-0.3716;0.451
0.510211;0.0230;0.2443;-0.3707;0.445
0.524712;0.0580;0.1952;-0.4098;0.458
0.529738;0.1103;0.1276;-0.4893;0.518
0.540049;0.1921;0.0997;-0.4320;0.483
0.555401;0.0182;-0.0839;-0.5132;0.520
0.560481;0.0190;-0.0989;-0.4885;0.499
0.569396;0.0787;-0.1030;-0.4061;0.426
0.579088;0.1251;-0.1920;-0.2487;0.338
0.589676;0.2407;-0.2222;-0.2087;0.388
0.599086;0.3579;-0.2045;-0.1579;0.441
0.610024;0.3779;-0.1765;-0.0880;0.426
0.619541;0.3909;-0.1195;-0.1353;0.431
0.628745;0.2882;-0.0629;-0.0449;0.298
0.638547;0.3338;-0.0063;-0.0624;0.340
0.648652;0.2751;0.0119;-0.2378;0.364
0.658766;0.2455;0.2193;-0.1120;0.348
0.675276;0.0646;0.2317;0.0128;0.241
0.678244;-0.1377;-0.0084;0.0372;0.143
0.688468;-0.2977;-0.1808;0.1608;0.384
0.697969;-0.3346;-0.3632;0.2847;0.570
0.708215;-0.2032;-0.4600;0.4413;0.669
0.718391;-0.0756;-0.3668;0.6243;0.728
0.727778;-0.0956;-0.2624;0.8161;0.863
0.737749;-0.2126;-0.2963;0.9014;0.972
0.748605;-0.2633;-0.3010;0.9287;1.011
0.757892;-0.1223;-0.1786;0.8186;0.847
0.768795;0.1524;0.0319;0.6992;0.716
0.777500;0.3174;0.0889;0.5170;0.613
0.788218;0.2465;0.1015;0.3686;0.455
0.797761;0.1519;0.1924;0.1809;0.305
0.809454;0.0448;0.2404;-0.2292;0.335
0.822182;-0.0999;0.2416;-0.6219;0.675
0.827764;-0.0546;0.3536;-0.7522;0.833
0.836992;-0.1548;0.0982;-0.4650;0.500
0.846982;-0.1473;-0.1649;-0.1977;0.297
0.856814;0.0568;-0.1461;0.1996;0.254
0.868354;0.1176;-0.0824;0.7592;0.773
0.876888;0.0212;-0.1566;1.0432;1.055
0.888089;-0.0350;-0.2940;1.0077;1.050
0.897338;0.2342;-0.2091;0.7579;0.820
0.907641;0.2520;-0.2407;0.6340;0.723
0.921231;0.2057;-0.1700;0.3870;0.470
0.926151;0.1106;0.0025;0.3417;0.359
0.941780;-0.0914;0.1125;0.1917;0.240
0.946616;-0.0781;0.1708;-0.0831;0.205
0.956062;0.3494;0.3673;-0.5835;0.773
0.969032;0.5658;0.3721;-0.8314;1.072
0.976322;0.5631;0.1999;-1.1636;1.308
0.986838;0.5897;0.0498;-1.0149;1.175
0.997582;0.7983;0.1183;-0.9340;1.234
1.006840;0.7686;0.1035;-0.1624;0.792
1.017114;0.4109;0.0778;0.7778;0.883
1.027123;0.4020;0.1571;1.6392;1.695
1.036151;0.7366;0.1594;1.9196;2.062
1.046317;1.0437;-0.1350;1.6503;1.957
1.055457;1.5776;-0.2779;0.6991;1.748
1.070281;1.9089;-0.2374;0.0147;1.924
1.075186;1.3079;-0.2473;-0.4557;1.407
1.091033;0.2271;-0.2224;0.1057;0.335
1.096793;-0.8459;-0.0543;1.0702;1.365
1.104865;-2.0922;0.7195;2.7094;3.498
1.122120;-2.3733;0.7058;2.7179;3.677
1.124915;-2.2958;-0.1349;1.8453;2.949
1.135082;-2.1747;-0.9043;0.5480;2.418
1.146329;-1.1053;-0.8736;-1.2036;1.853
1.154659;1.1579;0.5746;-2.5048;2.819
1.164821;2.0229;1.2690;-2.6869;3.595
1.174690;1.2683;0.8497;-2.0542;2.559
1.187483;0.3276;0.1716;-1.0708;1.133
1.194526;-0.2418;-0.2710;-0.2716;0.454
1.204380;-0.7328;-0.2646;0.7663;1.093
1.214693;-1.3193;-0.1983;1.2250;1.811
1.225011;-2.5336;-0.4753;1.0941;2.800
1.241718;-3.7185;-0.3570;0.5767;3.780
1.244250;-1.7126;0.3953;-0.6926;1.889
1.254552;0.4246;0.3646;-1.6868;1.777
1.264506;1.8358;-0.1955;0.2631;1.865
1.274252;0.8561;-0.3049;3.1647;3.293
1.286724;-0.1278;0.3265;3.9695;3.985
1.293901;-0.0940;0.5701;3.3120;3.362
1.305309;-0.0888;0.1961;1.5898;1.604
1.314210;-0.1543;0.2119;1.0550;1.087
1.323896;-0.2458;0.2757;1.1268;1.186
1.336164;-0.3487;0.0525;1.1740;1.226
1.343355;-0.2601;-0.2341;0.8224;0.894
1.353427;-0.0443;-0.4721;0.5038;0.692
1.363234;0.1968;-0.6453;0.1897;0.701
1.373003;0.6447;-0.6157;-0.3626;0.962
1.391385;1.1353;-0.4199;-1.0594;1.609
1.392873;1.5483;-0.4459;-2.0912;2.640
1.404530;1.5441;-0.4907;-2.5538;3.024
1.413401;1.3593;-0.2647;-2.7964;3.121
