Devices
800
,,Bertec Force Plate #1 - Force,,,Bertec Force Plate #1 - Moment,,,Bertec Force Plate #1 - CoP,,,Bertec Force Plate #2 - Force,,,Bertec Force Plate #2 - Moment,,,Bertec Force Plate #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,16.2439,6.52954,64.0674,-13170.8,-1699.95,-3831.12,-178.466,94.4231,4.00649e-06,0,0,0,0,0,0,205,300,0
1,1,14.718,5.91919,62.8467,-12255.2,-479.247,-3739.57,-197.374,104.998,1.15144e-06,0,0,0,0,0,0,205,300,0
2,0,14.718,7.1399,67.7295,-11889,-1211.67,-3922.67,-187.11,124.463,2.70129e-06,0,0,0,0,0,0,205,300,0
2,1,14.1077,4.69849,64.6777,-12072.1,-601.318,-4105.78,-195.703,113.349,1.40383e-06,0,0,0,0,0,0,205,300,0
3,0,13.4973,5.00367,64.6777,-12621.5,-723.388,-4105.78,-193.816,104.856,1.68881e-06,0,0,0,0,0,0,205,300,0
3,1,14.1077,4.39331,65.2881,-12438.4,-845.458,-4105.78,-192.05,109.485,1.95534e-06,0,0,0,0,0,0,205,300,0
4,0,12.2766,4.69849,59.7949,-12804.6,-601.318,-3831.12,-194.944,85.8587,1.51846e-06,0,0,0,0,0,0,205,300,0
4,1,14.718,5.30884,63.457,-13170.8,-723.388,-3739.57,-193.6,92.4458,1.7213e-06,0,0,0,0,0,0,205,300,0
5,0,13.4973,6.52954,59.7949,-13353.9,-479.247,-3739.57,-196.985,76.672,1.21021e-06,0,0,0,0,0,0,205,300,0
5,1,13.1921,8.3606,63.457,-11889,-723.388,-3922.67,-193.6,112.644,1.7213e-06,0,0,0,0,0,0,205,300,0
6,0,14.4128,4.39331,62.8467,-11339.7,-479.247,-3739.56,-197.374,119.565,1.15144e-06,0,0,0,0,0,0,205,300,0
6,1,14.718,7.44507,62.8467,-12255.2,-479.247,-3922.67,-197.374,104.998,1.15144e-06,0,0,0,0,0,0,205,300,0
7,0,13.4973,5.30884,64.6777,-13170.8,-1211.67,-3831.12,-186.266,96.3631,2.82875e-06,0,0,0,0,0,0,205,300,0
7,1,14.4128,6.52954,66.5088,-12438.4,-357.177,-3922.67,-199.63,112.982,8.10904e-07,0,0,0,0,0,0,205,300,0
8,0,12.5818,5.61402,64.6777,-12255.2,-479.247,-4014.22,-197.59,110.518,1.11884e-06,0,0,0,0,0,0,205,300,0
8,1,13.8025,5.91919,62.8467,-12255.2,-479.247,-3556.46,-197.374,104.998,1.15144e-06,0,0,0,0,0,0,205,300,0
9,0,13.8025,5.91919,63.457,-12255.2,-845.458,-3922.67,-191.677,106.873,2.01177e-06,0,0,0,0,0,0,205,300,0
9,1,12.5818,5.30884,61.626,-12987.7,-723.388,-3831.12,-193.262,89.2501,1.77244e-06,0,0,0,0,0,0,205,300,0
10,0,13.8025,6.83472,62.8467,-12438.4,-357.177,-3739.57,-199.317,102.084,8.58156e-07,0,0,0,0,0,0,205,300,0
10,1,12.8869,6.52954,61.0156,-12255.2,-967.529,-3648.01,-189.143,99.1457,2.39435e-06,0,0,0,0,0,0,205,300,0
11,0,12.5818,6.83472,60.4053,-12072.1,253.175,-3922.67,-209.191,100.148,-6.32863e-07,0,0,0,0,0,0,205,300,0
11,1,14.4128,5.61402,57.3535,-13170.8,-479.247,-4105.78,-196.644,70.358,1.26172e-06,0,0,0,0,0,0,205,300,0
12,0,14.1077,5.00367,58.5742,-12621.5,-479.247,-4105.78,-196.818,84.522,1.23543e-06,0,0,0,0,0,0,205,300,0
12,1,14.4128,5.61402,63.457,-12438.4,-601.318,-4014.22,-195.524,103.988,1.43083e-06,0,0,0,0,0,0,205,300,0
13,0,13.8025,6.52954,61.0156,-12621.5,-601.318,-3556.46,-195.145,93.1438,1.48809e-06,0,0,0,0,0,0,205,300,0
13,1,13.8025,7.75025,64.0674,-12255.2,-357.177,-3831.12,-199.425,108.713,8.41805e-07,0,0,0,0,0,0,205,300,0
14,0,13.8025,5.61402,56.1328,-13170.8,-967.529,-3922.67,-187.764,65.3641,2.60263e-06,0,0,0,0,0,0,205,300,0
14,1,13.1921,4.39331,58.5742,-12987.7,-357.177,-3922.67,-198.902,78.2699,9.2075e-07,0,0,0,0,0,0,205,300,0
15,0,12.5818,5.00367,64.6777,-11889,-723.388,-3831.12,-193.816,116.18,1.68881e-06,0,0,0,0,0,0,205,300,0
15,1,13.1921,5.91919,61.0156,-13537,-601.318,-3922.67,-195.145,78.139,1.48809e-06,0,0,0,0,0,0,205,300,0
16,0,13.8025,5.61402,62.8467,-12255.2,-723.388,-3831.12,-193.49,104.998,1.73802e-06,0,0,0,0,0,0,205,300,0
16,1,15.0232,5.61402,61.0156,-12804.6,131.104,-4105.78,-207.149,90.1429,-3.24444e-07,0,0,0,0,0,0,205,300,0
17,0,14.4128,5.30884,60.4053,-11889,-479.247,-4014.22,-197.066,103.179,1.19798e-06,0,0,0,0,0,0,205,300,0
17,1,15.3284,6.52954,61.626,-12621.5,-845.458,-3739.57,-191.281,95.1926,2.07154e-06,0,0,0,0,0,0,205,300,0
18,0,13.8025,5.30884,64.0674,-12804.6,-967.529,-3922.67,-189.898,100.139,2.2803e-06,0,0,0,0,0,0,205,300,0
18,1,13.1921,5.91919,60.4053,-11889,-1455.81,-3831.12,-180.899,103.179,3.63911e-06,0,0,0,0,0,0,205,300,0
