Devices
800
,,Bertec Force Plate #1 - Force,,,Bertec Force Plate #1 - Moment,,,Bertec Force Plate #1 - CoP,,,Bertec Force Plate #2 - Force,,,Bertec Force Plate #2 - Moment,,,Bertec Force Plate #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,14.1077,4.69849,67.1191,-12255.2,-479.247,-3922.67,-197.86,117.411,1.07815e-06,0,0,0,0,0,0,205,300,0
1,1,13.8025,7.1399,62.8467,-11889,-1333.74,-3831.12,-183.778,110.825,3.20445e-06,0,0,0,0,0,0,205,300,0
2,0,14.718,5.00367,63.457,-12072.1,-479.247,-3831.12,-197.448,109.759,1.14037e-06,0,0,0,0,0,0,205,300,0
2,1,14.718,7.44507,65.8984,-12621.5,9.03388,-3922.67,-205.137,108.471,-2.06997e-08,0,0,0,0,0,0,205,300,0
3,0,11.6662,9.5813,65.8984,-12438.4,-479.247,-3922.67,-197.727,111.25,1.09812e-06,0,0,0,0,0,0,205,300,0
3,1,13.1921,6.83472,64.0674,-12255.2,-967.529,-3922.67,-189.898,108.713,2.2803e-06,0,0,0,0,0,0,205,300,0
4,0,13.1921,5.00367,66.5088,-13170.8,-601.318,-3739.57,-195.959,101.969,1.36518e-06,0,0,0,0,0,0,205,300,0
4,1,13.1921,7.44507,64.6777,-12804.6,-845.458,-4105.78,-191.928,102.025,1.9738e-06,0,0,0,0,0,0,205,300,0
5,0,15.3284,6.83472,65.2881,-12255.2,-1333.74,-3739.57,-184.571,112.29,3.08462e-06,0,0,0,0,0,0,205,300,0
5,1,13.4973,4.39331,63.457,-13353.9,-967.529,-4105.78,-189.753,89.5603,2.30223e-06,0,0,0,0,0,0,205,300,0
6,0,13.4973,5.91919,64.0674,-12987.7,-235.107,-3831.12,-201.33,97.2811,5.54106e-07,0,0,0,0,0,0,205,300,0
6,1,14.718,4.08814,62.2363,-12255.2,-235.107,-3739.57,-201.222,103.085,5.70409e-07,0,0,0,0,0,0,205,300,0
7,0,16.5491,8.05542,64.0674,-12987.7,-113.036,-3922.67,-203.236,97.2811,2.66407e-07,0,0,0,0,0,0,205,300,0
7,1,13.8025,7.1399,64.6777,-13537,-357.177,-3831.12,-199.478,90.701,8.33861e-07,0,0,0,0,0,0,205,300,0
8,0,14.718,5.61402,63.457,-12621.5,253.175,-3922.67,-208.99,101.102,-6.02428e-07,0,0,0,0,0,0,205,300,0
8,1,13.1921,5.30884,61.626,-13170.8,-235.107,-3922.67,-201.185,86.2788,5.76058e-07,0,0,0,0,0,0,205,300,0
9,0,14.1077,6.83472,65.2881,-14269.4,-479.247,-3739.57,-197.66,81.4393,1.10839e-06,0,0,0,0,0,0,205,300,0
9,1,15.6335,5.30884,60.4053,-13170.8,-479.247,-3831.12,-197.066,81.9599,1.19798e-06,0,0,0,0,0,0,205,300,0
10,0,14.718,5.30884,61.0156,-11889,-723.388,-4014.22,-193.144,105.148,1.79017e-06,0,0,0,0,0,0,205,300,0
