time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
08:47:01:363;0,2013;-0,0349;-0,0898;0,223
08:47:01:364;-0,1039;0,0612;-0,4018;0,420
08:47:01:377;-0,1596;0,1044;-0,0788;0,206
08:47:01:379;-0,0127;0,0767;0,2401;0,252
08:47:01:387;0,0559;0,0050;0,1009;0,115
08:47:01:395;0,0129;0,0090;-0,1083;0,109
08:47:01:403;-0,0325;0,0421;-0,0908;0,105
08:47:01:411;-0,0086;0,0778;0,0510;0,093
08:47:01:419;-0,0278;0,0584;0,0706;0,096
08:47:01:427;-0,0036;0,0603;0,0069;0,061
08:47:01:435;-0,0059;0,0549;-0,0255;0,061
08:47:01:443;-0,0346;0,0592;-0,0054;0,069
08:47:01:452;-0,0512;0,0611;0,0315;0,086
08:47:01:459;-0,0652;0,0583;0,0370;0,095
08:47:01:467;-0,0332;0,0314;0,0261;0,053
08:47:01:476;0,0272;0,0190;0,0318;0,046
08:47:01:484;0,0346;0,0042;0,0349;0,049
08:47:01:492;-0,0011;0,0015;0,0117;0,012
08:47:01:500;-0,0440;0,0251;0,0458;0,068
08:47:01:507;-0,0422;0,0413;0,0085;0,060
08:47:01:515;-0,0356;0,0384;-0,0024;0,052
08:47:01:523;-0,0314;0,0379;-0,0206;0,053
08:47:01:535;0,0016;0,0328;0,0064;0,033
08:47:01:540;-0,0321;0,0827;0,0215;0,091
08:47:01:548;-0,0559;0,0534;0,0368;0,086
08:47:01:556;-0,0671;0,0816;0,0164;0,107
08:47:01:564;-0,0305;0,0739;-0,0088;0,080
08:47:01:572;-0,0204;0,0734;0,0088;0,077
08:47:01:580;-0,0081;0,0562;0,0216;0,061
08:47:01:589;0,0298;0,0293;0,0394;0,057
08:47:01:597;0,0007;0,0503;0,0334;0,060
08:47:01:604;-0,0597;0,0689;0,0560;0,107
08:47:01:612;-0,0575;0,0441;0,0169;0,074
08:47:01:620;-0,0599;0,0431;-0,0529;0,091
08:47:01:628;-0,0216;0,0326;-0,0535;0,066
08:47:01:637;-0,0027;0,0272;0,0026;0,028
08:47:01:645;-0,0054;0,0482;0,0253;0,055
08:47:01:652;-0,0366;0,0714;-0,0117;0,081
08:47:01:660;-0,0486;0,0755;-0,0726;0,115
08:47:01:668;-0,0252;0,0512;-0,0358;0,067
08:47:01:677;0,0029;0,0678;0,0195;0,071
08:47:01:685;0,0263;0,0509;0,0365;0,068
08:47:01:693;0,0239;0,0530;-0,0107;0,059
08:47:01:701;-0,0145;0,0910;-0,0316;0,097
08:47:01:709;-0,0364;0,0860;-0,0146;0,095
08:47:01:717;-0,0344;0,0573;0,0213;0,070
08:47:01:725;-0,0346;0,0428;0,0216;0,059
08:47:01:733;-0,0349;0,0451;0,0193;0,060
08:47:01:742;-0,0161;0,0402;0,0101;0,044
08:47:01:749;0,0172;0,0305;0,0295;0,046
08:47:01:757;-0,0024;0,0375;0,0082;0,038
08:47:01:766;-0,0172;0,0541;-0,0034;0,057
08:47:01:773;-0,0534;0,0635;-0,0078;0,083
08:47:01:781;-0,0629;0,0561;0,0237;0,088
08:47:01:789;-0,0507;0,0870;0,0242;0,104
08:47:01:797;-0,0026;0,0580;-0,0018;0,058
08:47:01:806;0,0191;0,0722;-0,0277;0,080
08:47:01:814;0,0046;0,0839;-0,0273;0,088
08:47:01:822;-0,0292;0,0694;-0,0127;0,076
08:47:01:830;-0,0561;0,0716;-0,0290;0,096
08:47:01:837;-0,0089;0,0451;-0,0118;0,047
08:47:01:846;-0,0238;0,0664;-0,0113;0,071
08:47:01:854;-0,0455;0,0805;-0,0036;0,092
08:47:01:862;-0,0120;0,0634;-0,0053;0,065
08:47:01:869;-0,0000;0,0439;-0,0096;0,045
08:47:01:878;-0,0168;0,0340;-0,0137;0,040
08:47:01:886;-0,0166;0,0504;-0,0130;0,055
08:47:01:894;-0,0188;0,0693;-0,0316;0,078
08:47:01:902;-0,0184;0,0572;-0,0098;0,061
08:47:01:910;-0,0014;0,0858;-0,0169;0,087
08:47:01:918;0,0083;0,0833;-0,0191;0,086
08:47:01:926;0,0057;0,0405;-0,0099;0,042
08:47:01:935;-0,0377;0,0262;-0,0748;0,088
08:47:01:943;-0,0070;0,0769;-0,0970;0,124
08:47:01:951;-0,0866;0,0566;0,0489;0,114
08:47:01:959;-0,0373;0,0363;0,0513;0,073
08:47:01:967;-0,0116;0,0465;-0,0338;0,059
08:47:01:975;0,0286;0,0808;-0,0112;0,086
08:47:01:984;-0,0077;0,0936;0,0661;0,115
08:47:01:991;-0,0629;0,1039;0,1175;0,169
08:47:01:999;-0,1228;0,0416;0,0600;0,143
08:47:02:008;-0,0896;0,0076;-0,0898;0,127
08:47:02:015;-0,0399;0,0456;-0,0701;0,093
08:47:02:023;0,0285;0,0458;-0,1877;0,195
08:47:02:031;0,1316;0,0951;0,4009;0,433
08:47:02:042;0,0495;0,0161;0,1591;0,167
08:47:02:053;-0,0771;0,0049;-0,0917;0,120
08:47:02:055;-0,1276;0,0375;0,0108;0,133
08:47:02:063;-0,0444;0,0607;0,1414;0,160
08:47:02:071;0,0005;0,0427;0,0266;0,050
08:47:02:080;-0,0165;0,0580;-0,0663;0,090
08:47:02:088;-0,0047;0,0306;-0,0572;0,065
08:47:02:096;0,0596;0,0087;-0,0037;0,060
08:47:02:104;0,0332;0,0419;0,0065;0,054
08:47:02:112;0,0046;0,0369;-0,0626;0,073
08:47:02:120;-0,0001;0,0226;-0,0795;0,083
08:47:02:128;0,0046;0,0113;-0,0615;0,063
08:47:02:136;0,0070;0,0385;-0,0106;0,041
08:47:02:145;0,0094;0,0036;0,0329;0,034
08:47:02:152;-0,1031;0,0212;-0,0430;0,114
08:47:02:160;-0,2200;-0,0474;-0,0255;0,226
08:47:02:169;0,1466;-0,1798;0,0240;0,233
08:47:02:176;-0,1443;0,1905;0,1001;0,259
08:47:02:184;-0,0401;0,1464;0,1188;0,193
08:47:02:192;0,2964;0,0324;0,1220;0,322
08:47:02:200;0,0879;0,0370;0,0360;0,102
08:47:02:208;-0,0534;0,0512;-0,0283;0,079
08:47:02:216;-0,0852;0,0584;-0,1097;0,151
08:47:02:225;0,0404;0,0256;-0,0440;0,065
08:47:02:232;0,1231;-0,0139;0,0878;0,152
08:47:02:244;0,0887;0,0230;0,1624;0,186
08:47:02:253;-0,0099;0,0309;0,0103;0,034
08:47:02:259;-0,0871;-0,0264;-0,0595;0,109
08:47:02:264;-0,1865;-0,2100;0,4227;0,507
08:47:02:274;-0,1643;-0,2341;0,3896;0,483
08:47:02:281;-0,1495;-0,3608;-0,2047;0,441
08:47:02:289;-0,5073;-1,0382;-0,5499;1,280
08:47:02:297;0,1092;-0,9108;-0,4742;1,033
08:47:02:305;0,3721;-0,8154;0,0133;0,896
08:47:02:313;0,2682;-0,8020;0,2842;0,892
08:47:02:321;0,2249;-1,0548;0,2207;1,101
08:47:02:329;-0,0579;-1,3946;0,2595;1,420
08:47:02:337;-0,4066;-1,6235;0,3061;1,701
08:47:02:345;-0,3796;-1,6897;0,1826;1,741
08:47:02:353;-0,2963;-1,4581;0,1219;1,493
08:47:02:362;-0,1170;-0,9376;0,1515;0,957
08:47:02:369;0,1411;-0,4802;0,0915;0,509
08:47:02:377;0,4263;-0,0374;0,0275;0,429
08:47:02:385;0,5573;0,3500;-0,0268;0,659
08:47:02:394;0,4427;0,7540;-0,0664;0,877
08:47:02:403;0,1572;1,2463;-0,2159;1,275
08:47:02:410;-0,0490;1,7226;-0,2732;1,745
08:47:02:418;-0,0793;1,9583;-0,3355;1,988
08:47:02:426;-0,0317;2,1846;-0,1974;2,194
08:47:02:434;0,1724;2,3186;-0,0151;2,325
08:47:02:443;0,1464;2,4297;0,1219;2,437
08:47:02:454;0,0513;1,8783;0,1378;1,884
08:47:02:458;-0,0767;0,0342;0,3088;0,320
08:47:02:467;-0,2793;-0,4103;0,2545;0,558
08:47:02:474;-0,1613;-0,1642;0,3320;0,404
08:47:02:482;-0,0409;0,0236;0,1264;0,135
08:47:02:491;-0,0565;-0,0452;0,0316;0,079
08:47:02:499;-0,0491;-0,0766;0,0943;0,131
08:47:02:507;-0,0843;-0,0515;0,2693;0,287
08:47:02:515;0,0044;-0,0481;0,2505;0,255
08:47:02:523;0,0095;-0,0596;0,1993;0,208
08:47:02:531;-0,0399;-0,0716;0,1443;0,166
08:47:02:539;-0,1491;-0,1245;-0,0061;0,194
08:47:02:547;0,0065;0,0840;-0,0470;0,096
08:47:02:556;-0,0245;0,1527;-0,0095;0,155
08:47:02:563;0,0231;0,0763;-0,0293;0,085
08:47:02:571;0,0180;-0,0663;0,0261;0,073
08:47:02:579;0,0677;-0,1653;0,0901;0,200
08:47:02:587;-0,1173;-0,2063;0,1289;0,270
08:47:02:595;-0,0654;-0,1059;0,0573;0,137
08:47:02:603;0,1995;-0,6968;0,1139;0,734
08:47:02:612;-0,2182;-1,6886;0,2897;1,727
08:47:02:619;0,0393;-1,1920;0,1727;1,205
08:47:02:627;0,0529;-0,3924;0,1059;0,410
08:47:02:635;0,0138;0,0977;0,0595;0,115
08:47:02:644;0,0226;0,4066;0,0856;0,416
08:47:02:653;-0,0289;0,6497;0,1046;0,659
08:47:02:659;-0,1278;0,5788;0,1053;0,602
08:47:02:667;-0,1932;0,3639;0,1449;0,437
08:47:02:676;-0,1657;0,2972;0,1466;0,370
08:47:02:683;-0,0711;0,3666;0,0869;0,383
08:47:02:692;0,0707;0,4527;0,0417;0,460
08:47:02:700;0,1077;0,4627;0,0839;0,482
08:47:02:708;0,0613;0,3965;0,1016;0,414
08:47:02:716;-0,1570;0,2705;0,2075;0,375
08:47:02:724;-0,1702;0,0631;0,1867;0,260
08:47:02:733;-0,1266;-0,0344;0,1519;0,201
08:47:02:740;-0,2399;-0,2087;0,1653;0,358
08:47:02:748;-0,1598;-0,6221;0,1303;0,655
08:47:02:756;0,3001;-1,1638;0,2682;1,231
08:47:02:764;0,0903;-0,4922;0,1365;0,519
08:47:02:772;0,0386;0,0850;0,0405;0,102
08:47:02:780;0,0272;0,3795;0,0764;0,388
08:47:02:788;-0,0081;0,6330;0,0052;0,633
08:47:02:796;-0,0306;0,6638;-0,0300;0,665
08:47:02:804;-0,0147;0,5896;0,0035;0,590
08:47:02:812;0,0079;0,4060;0,0765;0,413
08:47:02:821;-0,0645;0,0858;0,1087;0,153
08:47:02:829;-0,0840;-0,0457;0,0939;0,134
08:47:02:837;-0,0486;-0,0194;0,1180;0,129
08:47:02:845;-0,0777;0,0045;0,1086;0,134
08:47:02:855;-0,0376;0,0236;0,1063;0,115
08:47:02:860;-0,0049;0,0737;0,1210;0,142
08:47:02:869;0,0042;0,0135;0,0595;0,061
08:47:02:877;0,0322;-0,0347;0,0674;0,082
08:47:02:885;-0,0040;-0,0897;0,1295;0,158
08:47:02:893;0,0363;-0,0848;0,1054;0,140
08:47:02:901;-0,0023;0,0041;0,1454;0,146
08:47:02:909;-0,0144;0,0595;0,1088;0,125
08:47:02:917;-0,0501;0,0691;0,0658;0,108
08:47:02:925;-0,0952;-0,0314;0,1063;0,146
08:47:02:934;-0,1665;-0,1461;0,0867;0,238
08:47:02:941;0,1058;-0,9896;0,1625;1,008
08:47:02:953;-0,2251;-1,4364;0,0360;1,454
08:47:02:964;0,1665;-0,8890;0,0954;0,909
08:47:02:966;0,2418;-0,3697;0,1632;0,471
08:47:02:974;0,0598;0,1322;0,0262;0,147
08:47:02:981;-0,0374;0,4056;-0,0537;0,411
08:47:02:989;-0,0169;0,5853;-0,0154;0,586
08:47:02:998;0,0538;0,6048;-0,0233;0,608
08:47:03:006;0,0478;0,5436;0,0011;0,546
08:47:03:014;0,0970;0,4396;0,0319;0,451
08:47:03:022;0,0985;0,3475;0,0726;0,368
08:47:03:030;-0,0071;0,3866;0,0783;0,394
08:47:03:038;-0,0907;0,2673;0,0941;0,298
08:47:03:050;-0,2460;0,0136;0,0819;0,260
08:47:03:055;-0,3271;-0,2954;0,1063;0,453
08:47:03:062;-0,4439;-1,0953;0,0947;1,186
08:47:03:070;-0,0721;-1,8459;0,1523;1,854
08:47:03:078;-0,1015;-1,2681;0,0695;1,274
08:47:03:086;0,0879;-0,5896;0,1779;0,622
08:47:03:094;0,2459;0,2966;0,0673;0,391
08:47:03:102;0,2932;1,0219;-0,1287;1,071
08:47:03:110;0,1956;1,4127;-0,1560;1,435
08:47:03:118;0,0934;1,4405;-0,0942;1,447
08:47:03:126;0,1376;1,3058;-0,0018;1,313
08:47:03:134;0,0702;0,7048;0,0725;0,712
08:47:03:144;0,0135;-0,0182;0,0605;0,065
08:47:03:155;0,0475;-0,1407;0,0038;0,149
08:47:03:160;0,0218;-0,1552;0,0734;0,173
08:47:03:166;-0,0277;-0,3414;0,1919;0,393
08:47:03:175;-0,1204;-0,2501;0,0883;0,291
08:47:03:182;-0,2684;-0,4463;0,0090;0,521
08:47:03:192;-0,1433;-1,3409;0,1416;1,356
08:47:03:199;0,0782;-1,0551;0,0944;1,062
08:47:03:207;0,2024;-0,2071;0,1751;0,338
