Devices
800
,,Bertec Force Plate #1 - Force,,,Bertec Force Plate #1 - Moment,,,Bertec Force Plate #1 - CoP,,,Bertec Force Plate #2 - Force,,,Bertec Force Plate #2 - Moment,,,Bertec Force Plate #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,14.4128,5.91919,60.4053,-13353.9,-1089.6,-2915.59,-186.962,78.9286,2.72368e-06,0,0,0,0,0,0,205,300,0
1,1,15.3284,5.30884,61.626,-12621.5,-845.458,-3922.67,-191.281,95.1926,2.07154e-06,0,0,0,0,0,0,205,300,0
2,0,14.1077,8.3606,60.4053,-12621.5,-479.247,-3739.57,-197.066,91.0537,1.19798e-06,0,0,0,0,0,0,205,300,0
2,1,14.4128,8.05542,62.8467,-12987.7,-967.529,-3739.57,-189.605,93.3436,2.32459e-06,0,0,0,0,0,0,205,300,0
3,0,15.0232,5.30884,59.1846,-13720.1,-357.177,-3556.46,-198.965,68.1813,9.11255e-07,0,0,0,0,0,0,205,300,0
3,1,13.8025,4.39331,63.457,-12255.2,-601.318,-3739.57,-195.524,106.873,1.43083e-06,0,0,0,0,0,0,205,300,0
4,0,13.4973,4.39331,62.2363,-11705.9,-357.177,-3831.12,-199.261,111.912,8.66572e-07,0,0,0,0,0,0,205,300,0
4,1,15.0232,3.78296,61.626,-12255.2,-113.036,-3556.46,-203.166,101.135,2.76962e-07,0,0,0,0,0,0,205,300,0
5,0,15.6335,4.69849,62.2363,-12072.1,-601.318,-3739.57,-195.338,106.027,1.4589e-06,0,0,0,0,0,0,205,300,0
5,1,15.0232,6.52954,61.626,-11705.9,-479.247,-3739.56,-197.223,110.049,1.17425e-06,0,0,0,0,0,0,205,300,0
6,0,14.1077,5.91919,58.5742,-11889,-601.318,-3922.67,-194.734,97.0261,1.55011e-06,0,0,0,0,0,0,205,300,0
6,1,14.718,5.61402,64.0674,-12621.5,-845.458,-4197.33,-191.804,102.997,1.9926e-06,0,0,0,0,0,0,205,300,0
7,0,11.9714,6.52954,61.0156,-12804.6,-479.247,-3922.67,-197.146,90.1429,1.186e-06,0,0,0,0,0,0,205,300,0
7,1,14.4128,4.69849,68.9502,-11889,741.456,-3648.01,-215.754,127.571,-1.62373e-06,0,0,0,0,0,0,205,300,0
8,0,12.5818,5.91919,64.0674,-12255.2,-113.036,-3831.12,-203.236,108.713,2.66407e-07,0,0,0,0,0,0,205,300,0
8,1,14.718,5.91919,60.4053,-12987.7,-479.247,-3922.67,-197.066,84.9911,1.19798e-06,0,0,0,0,0,0,205,300,0
9,0,13.4973,5.00367,63.457,-12072.1,-479.247,-3922.67,-197.448,109.759,1.14037e-06,0,0,0,0,0,0,205,300,0
9,1,13.1921,6.22437,58.5742,-13903.2,-479.247,-3831.12,-196.818,62.6397,1.23543e-06,0,0,0,0,0,0,205,300,0
10,0,15.3284,7.1399,61.626,-12621.5,-967.529,-4105.78,-189.3,95.1926,2.37064e-06,0,0,0,0,0,0,205,300,0
10,1,13.8025,4.39331,60.4053,-13537,-357.177,-3648.01,-199.087,75.8973,8.9284e-07,0,0,0,0,0,0,205,300,0
11,0,15.0232,2.86744,61.0156,-13353.9,131.104,-3739.57,-207.149,81.14,-3.24444e-07,0,0,0,0,0,0,205,300,0
11,1,12.8869,5.91919,61.626,-12804.6,-113.036,-3739.57,-203.166,92.2213,2.76962e-07,0,0,0,0,0,0,205,300,0
12,0,14.4128,6.83472,61.626,-12621.5,-723.388,-3648.01,-193.262,95.1926,1.77244e-06,0,0,0,0,0,0,205,300,0
12,1,14.718,5.30884,61.626,-11522.8,-723.388,-3831.12,-193.262,113.02,1.77244e-06,0,0,0,0,0,0,205,300,0
13,0,13.1921,6.52954,60.4053,-11889,-1089.6,-3922.67,-186.962,103.179,2.72368e-06,0,0,0,0,0,0,205,300,0
13,1,13.4973,7.1399,61.0156,-12987.7,131.104,-4014.22,-207.149,87.1419,-3.24444e-07,0,0,0,0,0,0,205,300,0
14,0,13.1921,7.1399,62.8467,-12438.4,-845.458,-3739.57,-191.547,102.084,2.0313e-06,0,0,0,0,0,0,205,300,0
14,1,14.718,6.22437,64.6777,-12987.7,-479.247,-3922.67,-197.59,99.1941,1.11884e-06,0,0,0,0,0,0,205,300,0
15,0,14.1077,6.83472,61.0156,-12255.2,-479.247,-3831.12,-197.146,99.1457,1.186e-06,0,0,0,0,0,0,205,300,0
15,1,14.718,6.83472,62.2363,-12438.4,-723.388,-4105.78,-193.377,100.143,1.75506e-06,0,0,0,0,0,0,205,300,0
16,0,15.9387,6.52954,63.457,-12987.7,9.03388,-3464.91,-205.142,95.3313,-2.14961e-08,0,0,0,0,0,0,205,300,0
16,1,12.5818,5.30884,62.8467,-12255.2,-357.177,-3831.12,-199.317,104.998,8.58156e-07,0,0,0,0,0,0,205,300,0
17,0,14.1077,5.30884,60.4053,-12987.7,-235.107,-3831.12,-201.108,84.9911,5.87699e-07,0,0,0,0,0,0,205,300,0
17,1,14.4128,6.83472,67.7295,-11156.6,-723.388,-3648.01,-194.319,135.277,1.61272e-06,0,0,0,0,0,0,205,300,0
18,0,13.8025,5.91919,62.8467,-12072.1,-357.177,-3922.67,-199.317,107.911,8.58156e-07,0,0,0,0,0,0,205,300,0
18,1,14.718,5.30884,63.457,-12804.6,-845.458,-3739.57,-191.677,98.2168,2.01177e-06,0,0,0,0,0,0,205,300,0
19,0,14.1077,5.91919,63.457,-12804.6,-235.107,-3922.67,-201.295,98.2168,5.59436e-07,0,0,0,0,0,0,205,300,0
19,1,13.1921,6.83472,62.8467,-13903.2,-1333.74,-3922.67,-183.778,78.776,3.20445e-06,0,0,0,0,0,0,205,300,0
20,0,13.4973,5.61402,62.8467,-13170.8,-113.036,-3922.67,-203.201,90.4301,2.71582e-07,0,0,0,0,0,0,205,300,0
20,1,13.4973,5.61402,63.457,-12255.2,-235.107,-3739.57,-201.295,106.873,5.59436e-07,0,0,0,0,0,0,205,300,0
21,0,12.2766,4.69849,60.4053,-12621.5,-845.458,-3831.12,-191.004,91.0537,2.1134e-06,0,0,0,0,0,0,205,300,0
21,1,12.2766,4.69849,59.1846,-12987.7,-479.247,-3922.67,-196.902,80.5565,1.22269e-06,0,0,0,0,0,0,205,300,0
22,0,13.8025,4.39331,64.0674,-12987.7,-235.107,-3648.01,-201.33,97.2811,5.54106e-07,0,0,0,0,0,0,205,300,0
22,1,16.2439,5.61402,64.0674,-12621.5,-1333.74,-3922.67,-184.182,102.997,3.14339e-06,0,0,0,0,0,0,205,300,0
23,0,14.4128,6.52954,61.0156,-12987.7,-1089.6,-3831.12,-187.142,87.1419,2.69644e-06,0,0,0,0,0,0,205,300,0
23,1,14.1077,5.61402,59.1846,-12255.2,-723.388,-3922.67,-192.777,92.9317,1.84556e-06,0,0,0,0,0,0,205,300,0
24,0,13.8025,6.83472,62.8467,-12804.6,-845.458,-3922.67,-191.547,96.2571,2.0313e-06,0,0,0,0,0,0,205,300,0
