Devices
800
,,Bertec Force Plate #1 - Force,,,Bertec Force Plate #1 - Moment,,,Bertec Force Plate #1 - CoP,,,Bertec Force Plate #2 - Force,,,Bertec Force Plate #2 - Moment,,,Bertec Force Plate #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,15.9387,6.52954,58.5742,-13720.1,-601.318,-3739.57,-194.734,65.7657,1.55011e-06,0,0,0,0,0,0,205,300,0
1,1,13.8025,6.52954,61.626,-13170.8,-357.177,-3922.67,-199.204,86.2788,8.75154e-07,0,0,0,0,0,0,205,300,0
2,0,13.8025,4.69849,64.0674,-12438.4,-1333.74,-3739.57,-184.182,105.855,3.14339e-06,0,0,0,0,0,0,205,300,0
2,1,12.8869,5.30884,62.2363,-12804.6,-601.318,-3831.12,-195.338,94.259,1.4589e-06,0,0,0,0,0,0,205,300,0
3,0,13.8025,6.52954,59.1846,-12438.4,-479.247,-3831.12,-196.902,89.8379,1.22269e-06,0,0,0,0,0,0,205,300,0
3,1,14.4128,7.1399,58.5742,-12987.7,-357.177,-3831.12,-198.902,78.2699,9.2075e-07,0,0,0,0,0,0,205,300,0
4,0,13.4973,5.61402,61.0156,-12438.4,-723.388,-3831.12,-193.144,96.1448,1.79017e-06,0,0,0,0,0,0,205,300,0
4,1,12.5818,6.52954,62.2363,-12987.7,-1089.6,-4014.22,-187.493,91.3169,2.64355e-06,0,0,0,0,0,0,205,300,0
5,0,15.0232,5.91919,61.626,-11889,-479.247,-4105.78,-197.223,107.078,1.17425e-06,0,0,0,0,0,0,205,300,0
5,1,14.718,7.75025,65.8984,-12804.6,-235.107,-4288.88,-201.432,105.692,5.3871e-07,0,0,0,0,0,0,205,300,0
6,0,12.2766,6.83472,60.4053,-13353.9,-845.458,-4014.22,-191.004,78.9286,2.1134e-06,0,0,0,0,0,0,205,300,0
6,1,14.1077,5.61402,61.0156,-12987.7,-601.318,-3831.12,-195.145,87.1419,1.48809e-06,0,0,0,0,0,0,205,300,0
7,0,13.1921,1.95191,61.0156,-13353.9,-235.107,-4288.88,-201.147,81.14,5.8182e-07,0,0,0,0,0,0,205,300,0
7,1,15.3284,5.30884,62.8467,-12438.4,-845.458,-4105.78,-191.547,102.084,2.0313e-06,0,0,0,0,0,0,205,300,0
8,0,14.1077,6.22437,60.4053,-12804.6,253.175,-3739.57,-209.191,88.0224,-6.32863e-07,0,0,0,0,0,0,205,300,0
8,1,14.718,5.00367,64.6777,-12438.4,-601.318,-3831.12,-195.703,107.687,1.40383e-06,0,0,0,0,0,0,205,300,0
9,0,14.718,2.86744,62.8467,-13353.9,-723.388,-3739.57,-193.49,87.5165,1.73802e-06,0,0,0,0,0,0,205,300,0
