Devices
800
,,Bertec Force Plate #1 - Force,,,Bertec Force Plate #1 - Moment,,,Bertec Force Plate #1 - CoP,,,Bertec Force Plate #2 - Force,,,Bertec Force Plate #2 - Moment,,,Bertec Force Plate #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,14.1077,3.78296,62.8467,-12804.6,-1577.88,-3739.57,-179.893,96.2571,3.79102e-06,-3.65613,-0.598148,867.761,-29129.5,-16981.7,703.667,224.57,266.431,2.95492e-06
1,1,14.1077,4.69849,58.5742,-11889,-601.318,-3739.57,-194.734,97.0261,1.55011e-06,-2.74061,-1.2085,865.93,-29861.9,-16981.7,154.351,224.611,265.515,2.96117e-06
2,0,15.3284,5.00367,59.7949,-12987.7,-601.318,-3739.57,-194.944,82.7965,1.51846e-06,-3.35096,-2.4292,868.372,-29495.7,-17225.8,978.325,224.837,266.033,2.9953e-06
2,1,15.6335,8.97095,61.0156,-13170.8,-601.318,-3739.57,-195.145,84.1409,1.48809e-06,-3.35096,-2.12403,870.813,-29495.7,-17103.8,978.325,224.641,266.129,2.96573e-06
3,0,13.1921,5.61402,62.8467,-13170.8,-1211.67,-3922.67,-185.72,90.4301,2.91116e-06,-3.65613,-1.81885,868.372,-29312.6,-16981.7,703.667,224.556,266.244,2.95284e-06
3,1,14.718,5.30884,59.7949,-12255.2,-601.318,-3739.57,-194.944,95.0453,1.51846e-06,-2.74061,-0.598148,867.151,-28763.3,-17347.9,520.562,225.006,266.83,3.02077e-06
4,0,13.1921,3.17261,59.1846,-13537,-845.458,-3648.01,-190.715,71.2751,2.15699e-06,-3.65613,-1.81885,864.099,-28946.4,-17103.8,795.22,224.794,266.501,2.98877e-06
4,1,13.1921,5.91919,65.8984,-13170.8,-357.177,-3648.01,-199.58,100.135,8.18415e-07,-3.65613,-1.51368,872.644,-29861.9,-16859.6,703.667,224.32,265.78,2.91726e-06
5,0,14.4128,5.30884,62.2363,-12987.7,-967.529,-3831.12,-189.454,91.3169,2.34739e-06,-3.35096,-2.73438,869.592,-29495.7,-17225.8,520.562,224.809,266.081,2.99109e-06
5,1,13.4973,6.52954,65.2881,-13353.9,-1211.67,-3922.67,-186.441,95.4622,2.8023e-06,-4.57166,-1.81885,867.761,-29129.5,-17592.1,795.22,225.273,266.431,3.06113e-06
6,0,15.3284,7.1399,64.6777,-12255.2,-845.458,-3922.67,-191.928,110.518,1.9738e-06,-3.35096,-1.2085,863.489,-29312.6,-17347.9,429.009,225.09,266.053,3.03358e-06
6,1,14.718,5.30884,60.4053,-12255.2,-1822.02,-3922.67,-174.837,97.1163,4.55453e-06,-4.26649,-0.903324,873.254,-29495.7,-17470,703.667,225.006,266.223,3.02076e-06
7,0,14.4128,5.30884,62.2363,-13170.8,-113.036,-3831.12,-203.184,88.3748,2.74245e-07,-3.65613,-1.2085,865.32,-28946.4,-17470,337.456,225.189,266.548,3.04846e-06
7,1,14.1077,8.3606,59.7949,-12804.6,-479.247,-3648.01,-196.985,85.8587,1.21021e-06,-2.74061,-0.292973,868.982,-29495.7,-17347.9,612.115,224.964,266.057,3.0144e-06
8,0,14.4128,5.91919,62.8467,-12987.7,-235.107,-3556.46,-201.259,93.3436,5.64869e-07,-3.65613,-1.2085,865.32,-29129.5,-17225.8,795.22,224.907,266.337,3.00586e-06
8,1,14.1077,6.22437,65.2881,-12621.5,-601.318,-3648.01,-195.79,106.681,1.3907e-06,-4.26649,-2.4292,873.254,-28763.3,-17347.9,703.667,224.866,267.062,2.99966e-06
9,0,14.4128,5.30884,64.0674,-12987.7,-113.036,-3831.12,-203.236,97.2811,2.66407e-07,-3.65613,-1.51368,870.203,-29129.5,-17470,795.22,225.076,266.526,3.03136e-06
9,1,14.718,5.91919,63.457,-12072.1,-113.036,-3739.57,-203.219,109.759,2.6897e-07,-3.04578,-0.598148,870.203,-28946.4,-17225.8,795.22,224.795,266.736,2.98899e-06
10,0,12.2766,4.39331,61.626,-12987.7,-601.318,-3922.67,-195.242,89.2501,1.47335e-06,-3.35096,-2.12403,870.203,-29312.6,-17225.8,429.009,224.795,266.315,2.98899e-06
10,1,14.1077,5.30884,59.7949,-12987.7,-479.247,-3831.12,-196.985,82.7965,1.21021e-06,-3.65613,-1.2085,868.372,-29312.6,-17592.1,703.667,225.259,266.244,3.05897e-06
11,0,13.4973,4.08814,64.6777,-11705.9,-357.177,-3922.67,-199.478,119.011,8.33861e-07,-3.04578,-2.4292,863.489,-29312.6,-17225.8,978.326,224.949,266.053,3.01223e-06
11,1,13.1921,6.22437,62.8467,-13720.1,-357.177,-3098.7,-199.317,81.6895,8.58156e-07,-3.04578,-2.73438,867.151,-29312.6,-17470,429.009,225.146,266.197,3.04202e-06
12,0,14.4128,7.1399,61.626,-12255.2,-357.177,-3648.01,-199.204,101.135,8.75154e-07,-3.96131,-1.81885,869.592,-29312.6,-17347.9,612.115,224.949,266.292,3.01229e-06
12,1,14.4128,6.52954,59.7949,-12438.4,-723.388,-3831.12,-192.902,91.9831,1.82672e-06,-3.65613,-1.81885,869.592,-29129.5,-17592.1,1161.43,225.23,266.502,3.05468e-06
13,0,11.9714,7.44507,64.6777,-12804.6,-357.177,-3648.01,-199.478,102.025,8.33861e-07,-3.65613,-1.51368,866.54,-29129.5,-17225.8,795.22,224.879,266.384,3.00163e-06
13,1,14.718,6.22437,62.8467,-12255.2,-1089.6,-3739.57,-187.663,104.998,2.61788e-06,-3.04578,-1.51368,872.034,-28946.4,-17836.2,520.562,225.454,266.806,3.0884e-06
14,0,14.1077,5.30884,62.2363,-11522.8,-967.529,-3831.12,-189.454,114.854,2.34739e-06,-3.35096,-1.51368,865.93,-29312.6,-16981.7,429.009,224.611,266.149,2.96117e-06
14,1,15.3284,5.30884,61.626,-12987.7,-967.529,-3831.12,-189.3,89.2501,2.37064e-06,-2.74061,-1.2085,868.982,-29495.7,-17347.9,337.456,224.964,266.057,3.0144e-06
15,0,15.0232,6.52954,62.8467,-13720.1,-845.458,-3922.67,-191.547,81.6895,2.0313e-06,-3.96131,-0.292973,868.982,-28763.3,-17347.9,520.562,224.964,266.9,3.0144e-06
15,1,14.718,8.97095,65.2881,-12255.2,-845.458,-3831.12,-192.05,112.29,1.95534e-06,-3.96131,-0.292973,870.813,-28946.4,-17714.1,520.562,225.342,266.759,3.07156e-06
16,0,15.3284,6.52954,65.2881,-13170.8,-1577.88,-3831.12,-180.832,98.2668,3.64926e-06,-3.04578,-0.903324,868.372,-29312.6,-17714.1,886.773,225.399,266.244,3.0802e-06
16,1,14.718,5.91919,65.8984,-11705.9,-357.177,-3922.67,-199.58,122.364,8.18415e-07,-4.57166,-1.51368,870.203,-29495.7,-17714.1,703.667,225.356,266.105,3.07372e-06
17,0,15.3284,6.52954,61.626,-13537,-967.529,-4014.22,-189.3,80.3364,2.37064e-06,-3.35096,-1.2085,870.203,-28763.3,-17836.2,337.456,225.497,266.946,3.0949e-06
17,1,13.8025,7.75025,61.626,-12072.1,-479.247,-3739.57,-197.223,104.106,1.17425e-06,-3.04578,-0.903324,872.644,-28946.4,-17836.2,703.667,225.439,266.829,3.08624e-06
