Devices
800
,,Bertec Force Plate #1 - Force,,,Bertec Force Plate #1 - Moment,,,Bertec Force Plate #1 - CoP,,,Bertec Force Plate #2 - Force,,,Bertec Force Plate #2 - Moment,,,Bertec Force Plate #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,13.8025,5.30884,62.8467,-13353.9,-235.107,-3739.57,-201.259,87.5165,5.64869e-07,0,0,0,0,0,0,205,300,0
1,1,14.1077,6.22437,59.7949,-11889,-845.458,-3648.01,-190.861,101.17,2.13497e-06,0,0,0,0,0,0,205,300,0
2,0,13.4973,2.86744,59.7949,-13353.9,-357.177,-3922.67,-199.027,76.672,9.01954e-07,0,0,0,0,0,0,205,300,0
2,1,14.1077,5.00367,61.626,-12072.1,-479.247,-3922.67,-197.223,104.106,1.17425e-06,0,0,0,0,0,0,205,300,0
3,0,14.718,5.61402,60.4053,-12438.4,-723.388,-3922.67,-193.024,94.085,1.80826e-06,0,0,0,0,0,0,205,300,0
3,1,14.718,6.52954,61.626,-12804.6,-845.458,-4014.22,-191.281,92.2213,2.07154e-06,0,0,0,0,0,0,205,300,0
4,0,14.4128,6.22437,59.7949,-13353.9,-845.458,-4105.78,-190.861,76.672,2.13497e-06,0,0,0,0,0,0,205,300,0
4,1,14.718,7.44507,61.626,-13170.8,-357.177,-3739.57,-199.204,86.2788,8.75154e-07,0,0,0,0,0,0,205,300,0
5,0,15.3284,5.61402,59.7949,-12804.6,-479.247,-4197.33,-196.985,85.8587,1.21021e-06,0,0,0,0,0,0,205,300,0
5,1,14.718,6.83472,62.2363,-12438.4,-723.388,-3739.57,-193.377,100.143,1.75506e-06,0,0,0,0,0,0,205,300,0
6,0,12.5818,6.22437,62.8467,-12987.7,-1089.6,-3831.12,-187.663,93.3436,2.61788e-06,0,0,0,0,0,0,205,300,0
6,1,13.4973,5.00367,62.2363,-12438.4,-357.177,-3922.67,-199.261,100.143,8.66572e-07,0,0,0,0,0,0,205,300,0
7,0,12.5818,5.00367,62.2363,-13170.8,-479.247,-3648.01,-197.3,88.3748,1.16273e-06,0,0,0,0,0,0,205,300,0
7,1,14.1077,6.22437,61.626,-12438.4,-1333.74,-3648.01,-183.358,98.1638,3.26792e-06,0,0,0,0,0,0,205,300,0
8,0,14.1077,6.22437,62.8467,-12621.5,-601.318,-3831.12,-195.432,99.1706,1.44473e-06,0,0,0,0,0,0,205,300,0
8,1,13.1921,7.44507,62.8467,-12621.5,-845.458,-3739.57,-191.547,99.1706,2.0313e-06,0,0,0,0,0,0,205,300,0
9,0,15.9387,4.39331,61.0156,-13353.9,-1455.81,-3739.57,-181.14,81.14,3.6027e-06,0,0,0,0,0,0,205,300,0
9,1,14.718,7.1399,64.0674,-13353.9,-845.458,-3739.57,-191.804,91.5651,1.9926e-06,0,0,0,0,0,0,205,300,0
10,0,12.8869,3.17261,62.2363,-12987.7,-357.177,-3831.12,-199.261,91.3169,8.66572e-07,0,0,0,0,0,0,205,300,0
10,1,14.718,5.30884,57.3535,-12438.4,-479.247,-4105.78,-196.644,83.1283,1.26172e-06,0,0,0,0,0,0,205,300,0
11,0,13.1921,6.22437,62.2363,-11889,-723.388,-3739.57,-193.377,108.97,1.75506e-06,0,0,0,0,0,0,205,300,0
11,1,13.8025,4.69849,60.4053,-12804.6,-723.388,-4014.22,-193.024,88.0224,1.80826e-06,0,0,0,0,0,0,205,300,0
